Type,Prompt,Correct Answer,Choices
mcq,"What is ""harpsichord continuo""?","The specific combination of the harpsichord playing the improvisatory role in the Basso Continuo.","The recurring orchestral theme played by the full ensemble
  (ripieno or tutti) that alternates with solo episodes in... | Fixed time structures, such as the tāla in
  Hindustani classical music. | The specific combination of the harpsichord playing the improvisatory role in the Basso Continuo. | A wider listening example cited (Corelli, Op. 6 No. 8) that influenced Handel and is characteristic of the Baroque st..."
mcq,"Which term means: ""The specific combination of the harpsichord playing the improvisatory role in the Basso Continuo.""?","harpsichord continuo","harpsichord continuo | Pedals | major (typically cheerful) | Tamb“r”"
mcq,"What is ""harpsichord player""?","The musician responsible for spontaneously realizing and elaborating the harmonies indicated by the figured bass, oft...","The musician responsible for spontaneously realizing and elaborating the harmonies indicated by the figured bass, oft... | The central foundational rhythm of a genre, such as the clavé
  in Salsa. | The ud, a plucked lute, is a key melodic instrument
  in Arab Takht Ensembles. | Abbreviation for Movement 2."
mcq,"Which term means: ""The musician responsible for spontaneously realizing and elaborating the harmonies indicated by the figured bass, often serving as the de facto lea...""?","harpsichord player","harpsichord player | Ornamentation | rhythmic intensity | grandeur"
mcq,"What is ""harsh""?","A description of sound quality, often achieved by deliberate dissonance or cluster chords.","Composer of the music for King Kong (1933), credited with creating the first fully scored film soundtrack and bringin... | A description of sound quality, often achieved by deliberate dissonance or cluster chords. | A non-vocal opening section of a song. | A region included in the geographical diffusion of Arabic music (Arab takht ensembles)."
mcq,"Which term means: ""A description of sound quality, often achieved by deliberate dissonance or cluster chords.""?","harsh","speed | rhythmic intensity | harsh | compound time signature"
mcq,"What is ""Hector Lavoe""?","El Cantante: A key starting point for the study of Salsa music in Area of Study 5.","El Cantante: A key starting point for the study of Salsa music in Area of Study 5. | The section in Sonata Form between the First and
  Second Subjects, whose specific function is to modulate from the t... | The fourth degree of the scale (IV); a key closely related
  to the tonic, often modulated to in the Classical period. | The period of Western music spanning approximately c. 1750–1810 (Area of Study 2), known for the development of sonat..."
mcq,"Which term means: ""El Cantante: A key starting point for the study of Salsa music in Area of Study 5.""?","Hector Lavoe","tonal centers | Hector Lavoe | homophony | harpsichord player"
mcq,"What is ""Hemiola""?","A highly characteristic rhythmic/metrical device involving a momentary shift in perceived accentuation (e.g., three b...","Fixed patterns of beats and accents, referred to as iqāʿāt
  (plural) in Arab music. | A highly characteristic rhythmic/metrical device involving a momentary shift in perceived accentuation (e.g., three b... | A flexible tempo used for expressive phrasing, where the
  rhythm is subtly varied; a key feature of the Romantic sty... | Sections (short and long) into which the beats (mātrās)
  of the rhythmic cycle (tāla) are divided in Hindustani clas..."
mcq,"Which term means: ""A highly characteristic rhythmic/metrical device involving a momentary shift in perceived accentuation (e.g., three beats temporarily feeling like ...""?","Hemiola","Hemiola | downbeats | Chorales | sītār"
mcq,"What is ""heptatonic""?","Relating to a seven-note scale or system, noted as the broader scale system of Chinese Sizhu music (though its melodi...","Harmony or notes that are unstable, clashing, or tense, used deliberately to increase emotional impact and dramatic t... | Melodic movement characterized by jumps (disjunct movement), often contrasted with stepwise movement. | The set of required curriculum standards and content. | Relating to a seven-note scale or system, noted as the broader scale system of Chinese Sizhu music (though its melodi..."
mcq,"Which term means: ""Relating to a seven-note scale or system, noted as the broader scale system of Chinese Sizhu music (though its melodies are predominantly pentatonic).""?","heptatonic","heroism | Instrumentation Core | evolution | heptatonic"
mcq,"What is ""heroism""?","A narrative theme often evoked in film music through prominent brass instruments and fanfares.","Off-beat rhythms played by percussion instruments (e.g.,
  hi-hats, shakers) in EDM to add complexity and rhythmic in... | A narrative theme often evoked in film music through prominent brass instruments and fanfares. | Symmetrical phrasing structures characteristic of
  Classical melodies, where a phrase (antecedent or question) is
  ... | A large orchestra used in modern scoring (film, ballet), incorporating the expansive Romantic-era additions and somet..."
mcq,"Which term means: ""A narrative theme often evoked in film music through prominent brass instruments and fanfares.""?","heroism","Wasla en sab&acirc; | heroism | Theme and Variations | diminuendo"
mcq,"What is ""Heterophonic Harmony""?","The complex vertical sound created when multiple performers play variations of the same melody simultaneously, result...","The significant change in the density or layering of musical lines between sections, such as the shift from the thick... | The complex vertical sound created when multiple performers play variations of the same melody simultaneously, result... | Refers to the use of Multi-tracking or Overdubbing
  in music production. | A phrase used by singers during layali (unmetred
  vocal improvisation) in Arab music to establish the emotional mood."
